word,label,source,label_conflict
chairperson,neutral,Gender-Fair Language Primer — Kintanar (1998),no
chairwoman,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
challenging,masculine,"BIAS Word Inventory — Konnikov et al. (2022) | Gaucher, Friesen & Kay (2011)",no
chambermaids,feminine,Gender-Fair Language Primer — Kintanar (1998),no
charismatic,masculine,Gender-Fair Language Primer — Kintanar (1998),no
cheer,feminine,"Gaucher, Friesen & Kay (2011)",no
cheesecake,feminine,Gender-Fair Language Primer — Kintanar (1998),no
chick,feminine,Gender-Fair Language Primer — Kintanar (1998),no
child,feminine,"BIAS Word Inventory — Konnikov et al. (2022) | Gaucher, Friesen & Kay (2011)",no
childcare vouchers,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
cinematographer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
cis men,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
cis women,feminine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
cisgender,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
classic artists,neutral,Gender-Fair Language Primer — Kintanar (1998),no
clean drivers,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
clear,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
coed,feminine,Gender-Fair Language Primer — Kintanar (1998),no
collaborative,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
combat,masculine,LinkedIn Talent Solutions / Cpl HR,no
comedian,neutral,Gender-Fair Language Primer — Kintanar (1998),no
comedienne,feminine,Gender-Fair Language Primer — Kintanar (1998),no
commission,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
commission package,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
commit,feminine,"Gaucher, Friesen & Kay (2011)",no
committed,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
communal,feminine,"Gaucher, Friesen & Kay (2011)",no
communicative,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
compassion,feminine,"Gaucher, Friesen & Kay (2011)",no
compassionate,feminine,"Gaucher, Friesen & Kay (2011)",no
competitive,masculine,"Gaucher, Friesen & Kay (2011)",no
composed,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
concerned,masculine,Gender-Fair Language Primer — Kintanar (1998),no
concise,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
confident,masculine,"BIAS Word Inventory — Konnikov et al. (2022) | Gaucher, Friesen & Kay (2011)",no
congress member,neutral,Gender-Fair Language Primer — Kintanar (1998),no
congressman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
connect,feminine,"Gaucher, Friesen & Kay (2011)",no
considerate,feminine,"Gaucher, Friesen & Kay (2011)",no
contracted hours,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
cooperative,feminine,"Gaucher, Friesen & Kay (2011)",no
countryman,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
courageous,masculine,"Gaucher, Friesen & Kay (2011)",no
courteous,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
craft artist,neutral,Gender-Fair Language Primer — Kintanar (1998),no
craftsmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
craftsperson,neutral,Gender-Fair Language Primer — Kintanar (1998),no
creative,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
crouch,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
curious,masculine,Gender-Fair Language Primer — Kintanar (1998),yes
decide,masculine,"Gaucher, Friesen & Kay (2011)",no
decision,masculine,"Gaucher, Friesen & Kay (2011)",no
decisive,masculine,"Gaucher, Friesen & Kay (2011)",no
dedicated,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
delightful,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
demand,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
demisexual,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
depend,feminine,"Gaucher, Friesen & Kay (2011)",no
detail,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
determined,masculine,"Gaucher, Friesen & Kay (2011)",no
developer,neutral,LinkedIn Talent Solutions,no
different areas,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
different locations,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
diploma,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
diplomacy,neutral,Gender-Fair Language Primer — Kintanar (1998),no
diplomat,neutral,Gender-Fair Language Primer — Kintanar (1998),no
disability,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
dish,feminine,Gender-Fair Language Primer — Kintanar (1998),no
ditsy,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
divorcée,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
doctor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
doctora,feminine,Gender-Fair Language Primer — Kintanar (1998),no
domestic helper,neutral,Gender-Fair Language Primer — Kintanar (1998),no
dominant,masculine,"Gaucher, Friesen & Kay (2011)",no
dominate,masculine,LinkedIn Talent Solutions / Cpl HR,no
domineering,feminine,Gender-Fair Language Primer — Kintanar (1998),no
doting mother,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
drafter,neutral,Gender-Fair Language Primer — Kintanar (1998),no
draftsmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
dressmaker,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
driven,neutral,LinkedIn Talent Solutions / Cpl HR,no
driver's license,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
driving,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
dykes,feminine,Gender-Fair Language Primer — Kintanar (1998),no
dynamic,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
eager,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
early man,masculine,Gender-Fair Language Primer — Kintanar (1998),no
early people,neutral,Gender-Fair Language Primer — Kintanar (1998),no
easy,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
easygoing,masculine,Gender-Fair Language Primer — Kintanar (1998),no
effective,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
efficient,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
eloquent,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
emotional,feminine,"Gaucher, Friesen & Kay (2011)",no
empathetic,feminine,"Gaucher, Friesen & Kay (2011)",no
employed mothers,feminine,Gender-Fair Language Primer — Kintanar (1998),no
empower,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
energetic,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
engaged,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
engaging,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
engineer,neutral,LinkedIn Talent Solutions,no
enthusiastic,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
ethnic,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
ethnic women,neutral,Gender-Fair Language Primer — Kintanar (1998),no
evenings,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
every man for himself,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
everyone,neutral,Gender-Fair Language Primer — Kintanar (1998),no
exceed,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
excel,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
exceptional,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
exciting,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
executor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
executrixes,feminine,Gender-Fair Language Primer — Kintanar (1998),no
exert,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
factory worker,neutral,Gender-Fair Language Primer — Kintanar (1998),no
fair,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
fair sex,neutral,Gender-Fair Language Primer — Kintanar (1998),no
families,neutral,Gender-Fair Language Primer — Kintanar (1998),no
family friendly,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
family values,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
fast-paced,masculine,LinkedIn Talent Solutions / Cpl HR,no
female homosexuals,feminine,Gender-Fair Language Primer — Kintanar (1998),no
female lawyer,feminine,Gender-Fair Language Primer — Kintanar (1998),no
female professor,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
femicide,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
feminine,feminine,"Gaucher, Friesen & Kay (2011)",no
feminist,neutral,Gender-Fair Language Primer — Kintanar (1998),no
feminization of poverty,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
fire fighter,neutral,Gender-Fair Language Primer — Kintanar (1998),no
firemen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
firm,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
fish seller,neutral,Gender-Fair Language Primer — Kintanar (1998),no
fish wives,feminine,Gender-Fair Language Primer — Kintanar (1998),no
fisher,neutral,Gender-Fair Language Primer — Kintanar (1998),no
fisherfolk,neutral,Gender-Fair Language Primer — Kintanar (1998),no
fishermen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
fit,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
fixed term,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
flatterable,feminine,"Gaucher, Friesen & Kay (2011)",no
flexible,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
flexible benefits,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
flight attendant,neutral,EIGE Toolkit on Gender-sensitive Communication (2019),no
follow,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
force,masculine,"Gaucher, Friesen & Kay (2011)",no
forefather,masculine,Gender-Fair Language Primer — Kintanar (1998),no
foremen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
forward thinking,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
founders,neutral,Gender-Fair Language Primer — Kintanar (1998),no
founding fathers,masculine,Gender-Fair Language Primer — Kintanar (1998),no
frank,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
friendly,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
frigid,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
frivolous,feminine,Gender-Fair Language Primer — Kintanar (1998),no
frumpy,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
full-time,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
fun,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
gal,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
gay lifestyle,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
gay marriage,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
gay women,feminine,Gender-Fair Language Primer — Kintanar (1998),no
gender blindness,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
gender gap,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
gender mainstreaming,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
gender-fluid,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
gender-nonconforming,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
gender-responsive,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
gender-sensitive,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
gender-transformative,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
genderqueer,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
gentle,feminine,"Gaucher, Friesen & Kay (2011)",no
gentlemen's agreement,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
unwritten agreement,neutral,UNESCO Gender-Neutral Guidelines|EIGE Toolkit on Gender-sensitive Communication (2019),no
girl,feminine,Gender-Fair Language Primer — Kintanar (1998),no
girl athlete,feminine,Gender-Fair Language Primer — Kintanar (1998),no
girl friday,feminine,Gender-Fair Language Primer — Kintanar (1998),no
glass ceiling,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
global opportunities,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
good,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
governess,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
governor,neutral,EIGE Toolkit on Gender-sensitive Communication (2019),no
granny midwives,feminine,Gender-Fair Language Primer — Kintanar (1998),no
greedy,masculine,"Gaucher, Friesen & Kay (2011)",no
guaranteed hours,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
guard,neutral,Gender-Fair Language Primer — Kintanar (1998),no
guru,masculine,LinkedIn Talent Solutions / Cpl HR,no
expert,neutral,LinkedIn Talent Solutions / Cpl HR,no
guy,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
hacker,masculine,LinkedIn Talent Solutions / Cpl HR,no
hands on,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
happy,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
hard-working,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
he,masculine,BIAS Word Inventory — Konnikov et al. (2022) | Gender-Fair Language Primer — Kintanar (1998),no
headstrong,masculine,"Gaucher, Friesen & Kay (2011)",no
heavy load,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
hegemonic masculinity,masculine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
help,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
her,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
hero,neutral,Gender-Fair Language Primer — Kintanar (1998),no
heroic women,feminine,Gender-Fair Language Primer — Kintanar (1998),no
heroines,feminine,Gender-Fair Language Primer — Kintanar (1998),no
heterosexual,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
hierarch,masculine,"Gaucher, Friesen & Kay (2011)",no
high quality,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
high strung,feminine,Gender-Fair Language Primer — Kintanar (1998),no
him,masculine,Gender-Fair Language Primer — Kintanar (1998),no
himself,masculine,Gender-Fair Language Primer — Kintanar (1998),no
hir,neutral,EIGE Toolkit on Gender-sensitive Communication (2019),no
his,masculine,BIAS Word Inventory — Konnikov et al. (2022) | Gender-Fair Language Primer — Kintanar (1998),no
holiday cover,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
homeless women,neutral,Gender-Fair Language Primer — Kintanar (1998),no
homely,feminine,Gender-Fair Language Primer — Kintanar (1998),no
homemaker,neutral,Gender-Fair Language Primer — Kintanar (1998),no
homosexual,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
homosexuality,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
honest,feminine,"Gaucher, Friesen & Kay (2011)",no
honey,feminine,Gender-Fair Language Primer — Kintanar (1998),no
hookers,feminine,Gender-Fair Language Primer — Kintanar (1998),no
host,neutral,Gender-Fair Language Primer — Kintanar (1998),no
hostess,feminine,Gender-Fair Language Primer — Kintanar (1998),no
hostesses,feminine,Gender-Fair Language Primer — Kintanar (1998),no
hostile,masculine,"Gaucher, Friesen & Kay (2011)",no
hotel worker,neutral,Gender-Fair Language Primer — Kintanar (1998),no
hours of work,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
house husbands,feminine,Gender-Fair Language Primer — Kintanar (1998),no
house wives,feminine,Gender-Fair Language Primer — Kintanar (1998),no
household helper,neutral,Gender-Fair Language Primer — Kintanar (1998),no
human,neutral,Gender-Fair Language Primer — Kintanar (1998),no
human being,neutral,Gender-Fair Language Primer — Kintanar (1998),no
human race,neutral,Gender-Fair Language Primer — Kintanar (1998),no
human resources,neutral,Gender-Fair Language Primer — Kintanar (1998),no
human solidarity,neutral,Gender-Fair Language Primer — Kintanar (1998),no
human species,neutral,Gender-Fair Language Primer — Kintanar (1998),no
humanity,neutral,Gender-Fair Language Primer — Kintanar (1998),no
humankind,neutral,Gender-Fair Language Primer — Kintanar (1998),no
husband and wife,neutral,Gender-Fair Language Primer — Kintanar (1998),no
hussy,feminine,Gender-Fair Language Primer — Kintanar (1998),no
hysterical,feminine,Gender-Fair Language Primer — Kintanar (1998),no
impulsive,masculine,"Gaucher, Friesen & Kay (2011)",no
independent,masculine,"Gaucher, Friesen & Kay (2011)",no
indigenous,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
individual,masculine,"Gaucher, Friesen & Kay (2011)",no
initiative,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
innovative,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
inspirational,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
integrity,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
intellect,masculine,"Gaucher, Friesen & Kay (2011)",no
interdependent,feminine,"Gaucher, Friesen & Kay (2011)",no
international travel,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
interpersonal,feminine,"Gaucher, Friesen & Kay (2011)",no
intersectionality,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
intersex,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
janitor,masculine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
jedi,masculine,LinkedIn Talent Solutions / Cpl HR,no
joe public,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
kind,feminine,"Gaucher, Friesen & Kay (2011)",no
king and queen,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
kinship,feminine,"Gaucher, Friesen & Kay (2011)",no
kneel,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
labor force,neutral,Gender-Fair Language Primer — Kintanar (1998),no
ladies,feminine,Gender-Fair Language Primer — Kintanar (1998),no
ladies and gentlemen,neutral,Gender-Fair Language Primer — Kintanar (1998),no
ladies chattering,feminine,Gender-Fair Language Primer — Kintanar (1998),no
lady,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
lady doctor,feminine,Gender-Fair Language Primer — Kintanar (1998),no
ladylike,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
law enforcement officer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lawyer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lay midwife,neutral,Gender-Fair Language Primer — Kintanar (1998),no
layman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
layperson,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lead,masculine,"Gaucher, Friesen & Kay (2011)",no
legislator,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lesbians,neutral,Gender-Fair Language Primer — Kintanar (1998),no
liberationist,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lift,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
limitless,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
line installer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
line repairer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lineman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
listening,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
literate,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
little woman,feminine,Gender-Fair Language Primer — Kintanar (1998),no
live-in,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
location change,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
logic,masculine,"Gaucher, Friesen & Kay (2011)",no
loose,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
lord and lady,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
loyal,feminine,"Gaucher, Friesen & Kay (2011)",no
lumbercutter,neutral,Gender-Fair Language Primer — Kintanar (1998),no
lumbermen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
madam,feminine,Gender-Fair Language Primer — Kintanar (1998),no
maiden name,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
maids,feminine,Gender-Fair Language Primer — Kintanar (1998),no
male chauvinism,neutral,Gender-Fair Language Primer — Kintanar (1998),no
male nurse,feminine,Gender-Fair Language Primer — Kintanar (1998),no
male secretary,feminine,Gender-Fair Language Primer — Kintanar (1998),no
man,masculine,BIAS Word Inventory — Konnikov et al. (2022) | Gender-Fair Language Primer — Kintanar (1998),no
man and wife,feminine,Gender-Fair Language Primer — Kintanar (1998),no
man on the street,masculine,Gender-Fair Language Primer — Kintanar (1998),no
man up,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
man-hour,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
man-made,masculine,Gender-Fair Language Primer — Kintanar (1998),no
manager,neutral,Gender-Fair Language Primer — Kintanar (1998),no
mandarin,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
manhood,masculine,Gender-Fair Language Primer — Kintanar (1998),no
mankind,masculine,Gender-Fair Language Primer — Kintanar (1998),no
manning,masculine,Gender-Fair Language Primer — Kintanar (1998),no
manpower,masculine,Gender-Fair Language Primer — Kintanar (1998),no
workforce,neutral,UN Guidelines for gender-inclusive language in English,no
manufactured,neutral,Gender-Fair Language Primer — Kintanar (1998),no
masculine,masculine,"Gaucher, Friesen & Kay (2011)",no
masculinity,masculine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
master,masculine,Gender-Fair Language Primer — Kintanar (1998),no
master of ceremonies,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
masterful,masculine,Gender-Fair Language Primer — Kintanar (1998),no
mastermind,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
masterplan,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
maternity leave,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
matron,feminine,Gender-Fair Language Primer — Kintanar (1998),no
maturity,neutral,Gender-Fair Language Primer — Kintanar (1998),no
men,masculine,BIAS Word Inventory — Konnikov et al. (2022) | Gender-Fair Language Primer — Kintanar (1998),no
men and girls,feminine,Gender-Fair Language Primer — Kintanar (1998),no
men and ladies,feminine,Gender-Fair Language Primer — Kintanar (1998),no
men and women,neutral,Gender-Fair Language Primer — Kintanar (1998),no
meteorologist,neutral,Gender-Fair Language Primer — Kintanar (1998),no
middleman,masculine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
mill girls,feminine,Gender-Fair Language Primer — Kintanar (1998),no
minority,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
minority women,feminine,Gender-Fair Language Primer — Kintanar (1998),no
misogyny,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
